shelfmark,pages,label,title,author,date,language,subject,description,other_metadata
Pal.lat.776,720,Pal.lat.776,Collectio inscripta,,Sec. XVI,Latino,,,Shelfmark: Pal.lat.776
Pal.lat.779,208,Pal.lat.779,Remissorium aureum iuris,,15. Jh.,lat,,,Shelfmark: Pal.lat.779
Pal.lat.777,480,Pal.lat.777,Decisiones de conciliis Rote,"Bellemère, Gilles de, vesc. di Avignon, 1342/3-1407",15. Jh.,lat,,,Shelfmark: Pal.lat.777
Pal.lat.781,166,Pal.lat.781,Summa de edendo que dicitur Olim,,12.-13. Jh.,lat,,,Shelfmark: Pal.lat.781
Pal.lat.782,133,Pal.lat.782,Summa decretalium,,13.-14. Jh.,lat,,,Shelfmark: Pal.lat.782
Pal.lat.780,448,Pal.lat.780,"Tractatus plenissimus iuris, libri quatuor",,14. Jh.,lat,,,Shelfmark: Pal.lat.780
Pal.lat.783,504,Pal.lat.783,Formularium contractuum et instrumentorum,,15. Jh.,lat,,,Shelfmark: Pal.lat.783
Pal.lat.784,566,Pal.lat.784,Lectura in ius canonicum de Iudiciis Continua(ndis) ad totum librum precedentem secundum Goff(ridum) CX,,1447,lat,,,Shelfmark: Pal.lat.784
Pal.lat.785,140,Pal.lat.785,Munsteri Nurembergensis in Institutionum (Iustiniani imp.) libros adnotata,,1529,Latino,,,Shelfmark: Pal.lat.785
Pal.lat.786,500,Pal.lat.786,Azonis summa Codicis Iustiniani imp.,,Sec. XIII-XIV,Latino,,,Shelfmark: Pal.lat.786
Pal.lat.787,290,Pal.lat.787,Summa Codicis,"Azo, giureconsulto, c. 1150-m. c. 1220",13.-14. Jh.,lat,,,Shelfmark: Pal.lat.787
Pal.lat.789,474,Pal.lat.789,Lectura in Digestum,,Sec. XV-XVI,Latino,,,Shelfmark: Pal.lat.789
Pal.lat.788,626,Pal.lat.788,Sammelhandschrift,,15. Jh.,lat,,,Shelfmark: Pal.lat.788
Pal.lat.790,366,Pal.lat.790,"Dictata in nonnullos librorum Pandectarum titulos a Dn. Eguinario Barone Iurecons. clariss. apud Bituriges ordinario, excepta anno salutis 1546",Éguinaire Baron,Sec. XVI,Latino,,,Shelfmark: Pal.lat.790
Pal.lat.792,626,Pal.lat.792,Guillielmi Duranti speculum iudiciale,"Durand, Guillaume, vesc. di Mende, c. 1230-1296",14. Jh.,,,,Shelfmark: Pal.lat.792
Pal.lat.791,755,Pal.lat.791,Iacobi de Alvarottis patavini de feudis,Iacobus de Alvarottus,Sec. XV,Latino,,,Shelfmark: Pal.lat.791
Pal.lat.793,362,Pal.lat.793,Guillelmi Duranti speculum iudiciale,,Sec. XV,Latino,,,Shelfmark: Pal.lat.793
Pal.lat.794,440,Pal.lat.794,Codice miscellaneo,,Sec. XV,Latino,,,Shelfmark: Pal.lat.794
Pal.lat.795,234,Pal.lat.795,Henningi a Rod. processus iudiciarius,,Sec. XVI,Latino,,,Shelfmark: Pal.lat.795
Pal.lat.796,260,Pal.lat.796,Codice miscellaneo,Bartolomeo da Brescia,Sec. XIII,Latino,,,Shelfmark: Pal.lat.796
